,address,mapx,mapy,name
2348,,,,충청남도 공주시 공주형 어린이 생태문화환경 놀이터 내 공중화장실
2349,경기도 파주시 동패동 346,287702,568118,경기도 파주시 e편한세상 운정 어반프라임
2350,,,,전라북도 진안군 진안동향면사무소
2351,충청남도 보령시 신흑동 766-94,266969,414288,충청남도 보령시 석서골 노인회관
2352,,,,울산광역시 울주군 산림교육문화센터
2353,,,,경기도 수원시 지동 행정복지센터 건립공사
2354,,,,전라남도 영광군 법성간이버스정류장 신축공사
2355,,,,전라북도 순창군 월드푸드 사이언스관
2356,강원도 강릉시 사천면 사천진리 54-3,476899,582277,강원도 강릉시 사천면 하평리 경로당
2357,,,,전라남도 순천시 전남 일자리플랫폼 신축공사
2358,,,,경기도 화성시 화성시 거점형 공공직장어린이집 신축공사 건축설계용역
2359,,,,강원도 삼척시 삼척시 중앙시장 주차타워 건립공사
2360,,,,충청남도 보령시 소미 실내게이트볼장
2361,강원도 원주시 문막읍 문막리 744,384506,523393,강원도 원주시 친환경유역 통합관리센터
2362,,,,경상북도 구미시 구미 확장단지 근린공원 9호 화장실
2363,전라남도 무안군 청계면 도림리 469-3,256754,257923,전라남도 무안군 무안군 청계면 도림리 공중화장실
2364,충청남도 논산시 노성면 병사리 98-6,319261,410199,충청남도 논산시 충청유교문화원
2365,강원도 원주시 반곡동 산16-12,397811,525744,강원도 원주시 원주소방서
2366,전라북도 김제시 만경읍 만경리 485-4,293381,362000,전라북도 김제시 만경보건지소
2367,,,,제주특별자치도 제주시 제주시 노인복지회관 다목적동
2368,,,,경기도 김포시 (가칭)걸포3유치원
2369,,,,경상북도 경주시 외동읍 농촌중심지 활성화사업(소통문화센터)
2370,,,,전라남도 순천시 순천 유·청소년 다목적수영장
2371,인천광역시 서구 가좌동 278-8,283348,543701,인천광역시 서구 가좌청소년문화의집
2372,,,,부산광역시 해운대구 해운대구 노인복지관 분관
2373,,,,전라북도 부안군 부안 반다비 체육센터
2374,,,,충청북도 보은군 보은군 숲속화장실 신축공사
2375,,,,인천광역시 서구 강남시장 주차장 주차타워
2376,경상북도 안동시 당북동 350-4,464661,440331,경상북도 안동시 안동경찰서
2377,,,,전라남도 함평군 월야 달맞이공원 공중화장실
2378,,,,충청북도 옥천군 군서면 금천리 공중화장실
2379,충청남도 태안군 안면읍 승언리 903-1,252010,437359,충청남도 태안군 안면노인복지관
2380,,,,충청남도 천안시 천안 남산지구 어르신일자리 복지문화센터
2381,,,,충청북도 옥천군 군서면 금산리(증산리) 공중화장실
2382,,,,강원도 홍천군 도관1리 경로당 신축공사
2383,경기도 양주시 옥정동 953-6,320470,580904,경기도 양주시 양주경찰서 옥정파출소
2384,충청남도 서천군 장항읍 장암리 435,279685,379551,충청남도 서천군 보령해양경찰서 장항파출소
2385,,,,경기도 고양시 (가칭)향동2유치원
2386,강원도 영월군 김삿갓면 예밀리 106,452658,504621,강원도 영월군 영월군 김삿갓면 마을회관
2387,,,,경기도 김포시 e편한세상 김포마송 B-6BL 신축공사
2388,,,,서울특별시 양천구 목3동 등나무 공영주차장
2389,,,,전라남도 완도군 완도 군외 근린생활형 체육센터
2390,,,,제주특별자치도 서귀포시 장애인단기거주시설 행복나눔
2391,,,,경기도 광주시 곤지암읍 농촌중심지활성화센터
2392,,,,강원도 홍천군 화상대2리 어은동 마을회관 및 경로당
2393,충청남도 천안시 서북구 불당동 1573,320010,468318,충청남도 천안시 천안 불당유치원
2394,,,,전라북도 임실군 임실군 노인종합복지관
2395,,,,제주특별자치도 서귀포시 도순마을 경로당
2396,,,,전라남도 완도군 보길면사무소
2397,,,,경상북도 포항시 장기면다목적복지회관
2398,경기도 안산시 단원구 대부북동  1855-64,273136,520479,경기도 안산시 방아머리경로당
2399,대전광역시 유성구 봉산동  216,345326,426296,대전광역시 유성구 봉산어린이공원 공중화장실
2400,경기도 화성시 새솔동 125,295759,520081,경기도 화성시 송린중학교
2401,경기도 하남시 학암동 650,325630,543124,경기도 하남시 하남시 위례파출소
2402,경상남도 거제시 옥포동 530-16,463459,255293,경상남도 거제시 옥포국제시장 공영주차장
2403,강원도 고성군 죽왕면 오호리 64-2,446176,635956,강원도 고성군 죽왕보건지소
2404,강원도 고성군 토성면 아야진리 39,448822,630107,강원도 고성군 아야진보건진료소
2405,,,,경상남도 사천시 신송창조적마을만들기(공용화장실)
2406,,,,전라북도 임실군 임실 청소년 문화의 집 건립사업
2407,,,,전라북도 익산시 익산경찰서 함열파출소
2408,,,,강원도 삼척시 성내지구 청년스타트업 공간건립사업
2409,인천광역시 강화군 길상면 온수리 470-39,266690,561094,인천광역시 강화군 강화군 노인문화센터
2410,,,,강원도 정선군 정선군 목재문화체험장 조성사업
2411,,,,울산광역시 동구 해양수산복합공간 조성사업
2412,,,,"충청남도 공주시 옥룡 17, 18통 경로당"
2413,부산광역시 북구 만덕동  843,494490,290135,부산광역시 북구 백양체육공원 공중화장실
2414,,,,충청남도 부여군 부여 송국리유적 정비 중 화장실
2415,,,,경기도 성남시 정자1동 복합청사
2416,,,,전라남도 순천시 순천시립예술단 연습동 건립공사
2417,,,,강원도 강릉시 왕산리 공중화장실
2418,,,,전라북도 군산시 (가칭) 군산 미성유치원 신축공사
2419,,,,경상남도 창녕군 창녕 대합면 농촌중심지활성화사업 공용화장실
2420,,,,경기도 의정부시 의정부 희망하나 어린이집
2421,,,,제주특별자치도 서귀포시 권역형 장애인 주간보호시설 신축공사
2422,강원도 홍천군 남면 양덕원리 350-10,379680,557308,강원도 홍천군 남면 공공도서관
2423,,,,경기도 용인시 성복근린공원54호 화장실동
2424,,,,서울특별시 성북구 길음1재정비촉진구역내 사회복지시설
2425,,,,제주특별자치도 제주시 제주시 연동 1519-2번지 공영주차장
2426,,,,인천광역시 중구 왕산해수욕장 공중화장실
2427,,,,경기도 동두천시 승지골 경로당 신축
2428,,,,인천광역시 서구 인천 현무체육공원 국궁장
2429,,,,강원도 영월군 영흥 14리 경로당
2430,서울특별시 노원구 공릉2동 240-271,319224,557949,서울특별시 노원구 공릉2동 어린이집
2431,경상북도 청송군 진보면 고현리 124-9,499435,436223,경상북도 청송군 진보면 고현리 경로당
2432,,,,경상북도 청송군 파천면 신기2리 경로당
2433,,,,강원도 양구군 국립농산물품질관리원 강원지원 양구사무소
2434,,,,전라남도 함평군 손불지구 어촌뉴딜300사업
2435,제주특별자치도 서귀포시 법환동 1073-1,261237,72595,제주특별자치도 서귀포시 법환 경로당
2436,,,,전라북도 고창군 상하체육테마공원 내 공중화장실
2437,경기도 남양주시 금곡동 687-7,329751,559269,경기도 남양주시 남양주 금곡 행복주택
2438,,,,제주특별자치도 제주시 제주시 외도1동 559-1 공영주차장
2439,,,,충청북도 충주시 신니면 농촌중심지 활성화사업(게이트볼장)
2440,,,,경상남도 합천군 가회 하목곡 경로당
2441,,,,충청북도 단양군 단성면 상방리 경로회관
2442,,,,인천광역시 강화군 강화남부지역 다목적강당 및 놀이시설 건립사업
2443,,,,경상남도 함양군 유림 다목적체육관 건립사업
2444,,,,인천광역시 강화군 황청보건진료소 신축공사
2445,,,,대전광역시 유성구 청양군 로컬푸드생산자 직판장
2446,충청남도 당진시 송악읍 복운리 1628-1,291397,482621,충청남도 당진시 송악건강생활지원센터
2447,충청북도 충주시 지현동 14,393933,485524,충청북도 충주시 충주 건강복지타운
2448,,,,강원도 홍천군 내면 창촌2리 경로당
2449,,,,경기도 포천시 포천시 소흘읍 직동2리 경로당 신축공사
2450,,,,경기도 포천시 포천시 창수면 추동1리 경로당 신축공사
2451,,,,충청남도 아산시 월랑수변공원 공중화장실
2452,충청남도 아산시 인주면 관암리 418-1,300279,473922,충청남도 아산시 인주중학교
2453,경상남도 창원시 의창구 북면 감계리 237-3,454328,300313,경상남도 창원시 감계복지센터
2454,,,,경기도 고양시 일산교 산책로 화장실
2455,,,,경기도 파주시 파주등기소(시법원)
2456,,,,인천광역시 서구 인천 서부경찰서 가정지구대
2457,,,,전라북도 부안군 부안 고마지구 농촌테마공원 조성사업
2458,전라남도 여수시 미평동 183-1,374092,241707,전라남도 여수시 여수시 장애인종합복지관
2459,충청남도 부여군 규암면 외리 111-3,300148,408346,충청남도 부여군 부여군 노인회관
2460,,,,경상북도 구미시 구미경찰서 봉곡파출소
2461,울산광역시 울주군 청량읍 율리 1490,512925,325745,울산광역시 울주군 울주군보훈회관
2462,강원도 원주시 개운동 450,395674,525610,강원도 원주시 원주의료원 부설주차장
2463,경기도 안양시 만안구 석수동 279-1,303652,535220,경기도 안양시 석수3동 행정복지센터
2464,강원도 삼척시 미로면 하거노리 714-194,498717,535805,강원도 삼척시 미로어린이집
2465,강원도 강릉시 성산면 관음리 150-1,474099,571131,강원도 강릉시 관음2리 경로당
2466,,,,경상남도 하동군 동정호 지방정원 안내실 및 화장실
2467,충청북도 보은군 보은읍 장신리 115-6,373707,431553,충청북도 보은군 보은읍 장신2리 경로당
2468,,,,세종특별자치시  국토연구원 공동 직장어린이집
2469,경상남도 통영시 한산면 두억리 247,444091,243082,경상남도 통영시 통영 두억보건진료소
2470,,,,경기도 안양시 근린생활시설(지역자치센터)
2471,부산광역시 강서구 대항동 236,475712,268418,부산광역시 강서구 창원해양경찰서 대항출장소
2472,,,,경기도 양주시 양주옥정우체국 건립공사
2473,,,,강원도 태백시 태백 농업기술센터 청사
2474,,,,대전광역시 중구 대사동 복합행정복지센터 신축공사
2475,서울특별시 동작구 신대방동 366-27,305152,544294,서울특별시 동작구 구립 은하어린이집
2476,서울특별시 광진구 구의동 237-6,319399,549317,서울특별시 광진구 구의1동 주민센터
2477,경기도 안산시 단원구 선부동  1113-9,295143,527858,경기도 안산시 달산경로당
2478,,,,강원도 삼척시 삼척 근덕 낭만센터 신축공사
2479,경상남도 진주시 미천면 효자리 581-2,406429,303509,경상남도 진주시 미천면 경로당
2480,,,,서울특별시 강남구 광역소공인특화지원센터
2481,경기도 화성시 새솔동 156,296343,519644,경기도 화성시 새솔유치원
2482,경기도 안양시 만안구 안양동 201-23,305977,532048,경기도 안양시 공영주차장(안양명학)
2483,전라북도 부안군 부안읍 동중리 99-8,285951,348644,전라북도 부안군 부안 국민체육센터
2484,,,,전라남도 해남군 해남 작은영화관 및 청소년문화센터 신축사업
2485,,,,경상남도 진주시 금호지 생태공원 공중화장실
2486,,,,경상북도 구미시 상모사곡동 행정복지센터 신축공사
2487,전라북도 부안군 백산면 오곡리 697-5,290500,345646,전라북도 부안군 녹두꽃 문화 복지센터
2488,,,,서울특별시 영등포구 나라키움 영등포복합청사
2489,,,,경상북도 경산시 경산 명품대추 테마공원 대추홍보관
2490,제주특별자치도 제주시 한경면 청수리 113-2,238050,79841,제주특별자치도 서귀포시 생태관광지원센터
2491,,,,대구광역시 서구 원대동 근린생활시설
2492,,,,제주특별자치도 제주시 제주시 도남동 574-3번지 공영주차장
2493,,,,서울특별시 금천구 우리동네 소규모 체육관
2494,,,,강원도 원주시 (가칭)기업초등학교2 신축공사
2495,인천광역시 중구 을왕동 959-1,255991,541174,인천광역시 중구 왕산경로당
2496,,,,경상북도 청송군 덕천1리 마을단위종합개발사업 공중화장실
2497,,,,충청남도 당진시 당진 손병희선생 안채
2498,,,,울산광역시 울주군 울주(함양)휴게소
2499,울산광역시 울주군 삼동면 보은리 산213-15,502748,324055,울산광역시 울주군 울주(울산)휴게소
